設置場所名称,所在地,電話番号,営業時間,急速充電器基数,普通充電器基数,加盟・提携区分,施設カテゴリー,ネットワーク事業者,新規,新規設置利用開始日,備考
Ａｕｄｉ浜松,静岡県浜松市東区宮竹町６６７,053-468-7961,10:00 ～ 19:00,2,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】毎週水曜日、第一、第三火曜日は定休日。年末年始・ＧＷ・夏季休暇など不定期に停止することがあります。
メルセデス・ベンツ浜松和田,静岡県浜松市東区和田町６４２－１,053-461-6059,24時間営業,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】店舗は毎週月曜日定休日ですが、充電設備は24時間年中無休でご利用いただけけます。
イオンモール浜松市野,静岡県浜松市東区天王町字諏訪１９８１－３,053-468-1880,09:00 ～ 20:00,0,10,提携,大規模小売店舗,NEC,,,
エディオン　浜松半田店,静岡県浜松市東区半田町７２２－２,053-431-6681,09:00 ～ 20:00,0,2,提携,大規模小売店舗,トヨタコネクティッド,,,
ネッツトヨタ浜松　有玉店,静岡県浜松市東区有玉北町５３１番地,053-435-3831,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週月曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
ネッツトヨタ浜松　宮竹店,静岡県浜松市東区宮竹町６２３,053-464-0931,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週月曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
ネッツトヨタ静浜　和田店,静岡県浜松市東区和田町８０９番地,053-461-6118,09:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
静岡トヨタ　有玉店,静岡県浜松市東区有玉北町１１８７－１,053-434-9100,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
静岡トヨタ　和田店,静岡県浜松市東区和田町７５７,053-464-1711,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　浜松宮竹店,静岡県浜松市東区宮竹町７５８,053-461-3111,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　浜松有玉店,静岡県浜松市東区有玉南町１４７３－１,053-434-3121,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　浜松和田店,静岡県浜松市東区和田町６７０,053-462-3111,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】【定休日等】毎週月曜日・毎月第１、第３火曜日。ＧＷ・お盆・年末年始など不定期に停止することがあります。充電時間１回１時間迄。詳細は店舗へお問合せください。
ニトリ　浜松和田店,静岡県浜松市東区和田町７３３－１,,10:00 ～ 20:00,0,3,加盟,大規模小売店舗,日本ユニシス,,,
舘山寺公共駐車場,静岡県浜松市西区舘山寺町１８３２－１,053-457-2502,09:00 ～ 21:00,1,0,提携,自治体施設,エネゲート,,,
愛知トヨタＥＡＳＴ　レクサス浜松西,静岡県浜松市西区入野町９７４６－１,053-447-0001,10:00 ～ 19:00,1,0,提携,自動車ディーラー,エネゲート,NEW,2023年05月10日,毎週月曜。GW、年末年始など不定期に停止することがあります。充電１回３０分迄。詳細は店舗へお問合せください。日曜日の営業時間は１０：００～１８：００です。
浜松日産入野店,静岡県浜松市西区入野町９６４１－１,053-447-5523,24時間営業,3,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
イオン浜松西,静岡県浜松市西区入野町６２４４－１,053-468-2611,09:00 ～ 21:00,1,1,提携,大規模小売店舗,NEC,,,
イオンモール浜松志都呂,静岡県浜松市西区志都呂町２丁目３７番１号,053-415-1200,10:00 ～ 21:00,1,1,提携,大規模小売店舗,NEC,,,
ＴＨＥ　ＨＡＭＡＮＡＫＯ,静岡県浜松市西区雄踏町山崎４３９６－１,053-592-2222,07:00 ～ 22:00,1,1,提携,宿泊施設,トヨタコネクティッド,,,
ホンダカーズ静岡西　浜松伊場店,静岡県浜松市西区入野町７２３,053-449-1480,10:00 ～ 18:30,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】毎週火曜日、水曜日は定休日　年末年始・ＧＷなど不定期に停止することがあります。詳細はHonda Carsのホームページをご確認ください。
ホンダカーズ浜松　雄踏店,静岡県浜松市西区雄踏一丁目２２番３３号,053-592-3306,10:00 ～ 18:30,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】毎週水曜日は定休日。年末年始・ＧＷなど不定期に停止することがあります。詳細はHonda Carsのホームページをご確認ください
浜松ビーチサイドゴルフ倶楽部,静岡県浜松市西区篠原町２６９０２,050-3173-5349,06:30 ～ 22:00,0,2,提携,ゴルフ場,ENECHANGE,NEW,2023年04月20日,【定休日等】24時間・年中無休
イオンモール浜松志都呂,静岡県浜松市西区志都呂町２丁目３７番１号,053-415-1200,10:00 ～ 21:00,0,8,提携,大規模小売店舗,NEC,,,
イオンモール浜松志都呂,静岡県浜松市西区志都呂２丁目３７番１号,,10:00 ～ 22:00,0,6,提携,大規模小売店舗,NEC,,,
ホテルウェルシーズン浜名湖,静岡県浜松市西区舘山寺町１９４２－１,053-487-1111,24時間営業,0,1,提携,宿泊施設,トヨタコネクティッド,,,【定休日等】施設点検のための休館日は除く
ネッツトヨタ浜松　志都呂店,静岡県浜松市西区志都呂１丁目４０番４１号,053-445-3391,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週月曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
ネッツトヨタ静浜　入野店,静岡県浜松市西区入野町９６８４ー１,053-477-8300,09:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
静岡トヨタ　志都呂店,静岡県浜松市西区西鴨江町６７０－１,053-449-1411,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　浜松志都呂店,静岡県浜松市西区志都呂一丁目２５－１４,053-440-7000,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　はまゆう店,静岡県浜松市西区雄踏２丁目１番３０号,053-597-1000,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜日・毎月第１、第３火曜日。GW・お盆・年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ニトリ　浜松入野店,静岡県浜松市西区入野町１００１１－１,,10:00 ～ 20:00,0,2,加盟,大規模小売店舗,日本ユニシス,,,
ホテルルートイン　浜松西インター,静岡県浜松市西区湖東町６０１５－１,,24時間営業,0,2,加盟,宿泊施設,日本ユニシス,,,
浜松市南区役所,静岡県浜松市南区江之島町６００－１,,08:30 ～ 17:30,1,0,加盟,自治体施設,エネゲート,,,
ジャガー・ランドローバー浜松,静岡県浜松市南区東若林町３１番１,053-444-4907,10:00 ～ 19:00,1,0,提携,自動車ディーラー,JCN,,,【定休日等】毎週火曜日及び、年末年始
浜松日産白羽店,静岡県浜松市南区白羽町６３８－１,053-442-2300,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ホンダカーズ静岡西　浜松都盛店,静岡県浜松市南区都盛町１８０,053-444-0580,10:00 ～ 18:30,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】毎週水曜日は定休日　年末年始・ＧＷなど不定期に停止することがあります。詳細はHonda Carsのホームページをご確認ください
ＭＥＧＡドン・キホーテ浜松可美店,静岡県浜松市南区東若林町１１－１,,09:00 ～ 02:00,0,2,提携,小売店舗,エネゲート,,,
ネッツトヨタ浜松　みなみ店,静岡県浜松市南区寺脇町７２８番地,053-442-3531,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週月曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
静岡トヨタ　森田店,静岡県浜松市南区東若林町２０－２,053-441-2141,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　浜松東若林店,静岡県浜松市南区東若林町９７－１,053-441-4111,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
浜松市北区役所,静岡県浜松市北区細江町気賀３０５,,08:30 ～ 17:30,1,0,加盟,自治体施設,エネゲート,,,
カインズホーム　浜松都田店,静岡県浜松市北区新都田３－１－１,,09:30 ～ 20:00,1,0,加盟,大規模小売店舗,JCN,,,【定休日等】1月1日
